매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-05-08,6660.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: smic 2026-05-07)",나노,187790,KR,5.0,1,smic,2026-05-07,16310.0,2026-06-11,4610.0,34,-31.2,supertrend_bearish_flip
2026-05-19,56800.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: kuvic 2026-05-18, yig 2026-05-08, smic 2026-05-07)",코스텍시스,355150,KR,5.0,3,kuvic|smic|yig,2026-05-07|2026-05-08|2026-05-18,112400.0|84400.0|159000.0,2026-06-09,33700.0,21,-41.02,supertrend_bearish_flip
2026-05-28,152300.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2026-03-14)",녹십자,006280,KR,5.0,1,star,2026-03-14,287100.0,2026-06-08,117800.0,11,-23.12,supertrend_bearish_flip
2026-03-16,42650.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2026-03-14, yig 2025-03-14, smic 2022-10-13)",HPSP,403870,KR,5.0,3,smic|star|yig,2022-10-13|2025-03-14|2026-03-14,19911.91|37760.0|44900.0,2026-06-04,44300.0,80,3.25,supertrend_bearish_flip
2026-04-15,37300.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-04-14, star 2023-02-16)",DN오토모티브,007340,KR,5.0,2,star|yig,2023-02-16|2026-04-14,27887.02|60800.0,2026-06-04,40900.0,50,8.99,supertrend_bearish_flip
2026-04-01,45800.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-03-31)",스피어,347700,KR,5.0,1,yig,2026-03-31,111000.0,2026-06-02,29900.0,62,-35.11,supertrend_bearish_flip
2026-06-01,1765.75,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: smic 2026-05-29)",FIX,FIX,US,5.0,1,smic,2026-05-29,5326.0,2026-06-02,1812.45,1,2.03,supertrend_bearish_flip
2026-01-26,35100.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-01-23, star 2025-12-12, ewha 2025-07-25, smic 2024-12-05)",RFHIC,218410,KR,5.0,4,ewha|smic|star|yig,2024-12-05|2025-07-25|2025-12-12|2026-01-23,17650.0|39500.0|42050.0|50500.0,2026-06-02,84800.0,127,140.15,supertrend_bearish_flip
2026-05-22,74600.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: kuvic 2026-05-21, yig 2026-04-14, star 2026-03-14, smic 2024-12-05)",한화엔진,082740,KR,5.0,4,kuvic|smic|star|yig,2026-03-14|2024-12-05|2026-04-14|2026-05-21,73700.0|24352.0|64200.0|121000.0,2026-06-01,62500.0,10,-16.72,supertrend_bearish_flip
2026-04-16,41800.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: ewha 2026-04-04)",대한전선,001440,KR,5.0,1,ewha,2026-04-04,42300.0,2026-05-29,46200.0,43,9.86,supertrend_bearish_flip
2026-03-30,121300.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: kuvic 2026-03-27, ewha 2025-10-04, star 2025-08-31, voera 2023-11-17, smic 2021-12-13)",인텔리안테크,189300,KR,5.0,5,ewha|kuvic|smic|star|voera,2025-10-04|2021-12-13|2026-03-27|2023-11-17|2025-08-31,67400.0|122000.0|198000.0|96600.0|71700.0,2026-05-21,137300.0,52,12.51,supertrend_bearish_flip
2026-05-12,13580.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-05-11)",후성,093370,KR,5.0,1,yig,2026-05-11,20000.0,2026-05-21,11530.0,9,-15.6,supertrend_bearish_flip
2026-05-08,51200.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: smic 2026-05-07, star 2025-03-10, yig 2024-06-02, ewha 2024-04-06)",덕산네오룩스,213420,KR,5.0,4,ewha|smic|star|yig,2024-04-06|2025-03-10|2024-06-02|2026-05-07,53200.0|48200.0|58500.0|91200.0,2026-05-19,45150.0,11,-12.34,supertrend_bearish_flip
2026-04-15,23900.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-04-14)",아모텍,052710,KR,5.0,1,yig,2026-04-14,54100.0,2026-05-18,18500.0,33,-23.06,supertrend_bearish_flip
2026-05-12,470000.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-05-11, smic 2023-11-12, star 2023-06-12)",효성티앤씨,298020,KR,5.0,3,smic|star|yig,2023-11-12|2023-06-12|2026-05-11,514000.0|536700.0|844000.0,2026-05-18,427000.0,6,-9.69,supertrend_bearish_flip
2026-03-16,17720.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2026-03-14, ewha 2020-11-21, smic 2020-10-31)",진성티이씨,036890,KR,5.0,4,ewha|smic|star,2020-11-21|2020-10-31|2026-03-14,13250.0|20350.0|27000.0,2026-05-15,17970.0,60,0.8,supertrend_bearish_flip
2026-04-14,47250.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2026-03-14, kuvic 2025-05-15, yig 2024-11-20)",실리콘투,257720,KR,5.0,3,kuvic|star|yig,2025-05-15|2024-11-20|2026-03-14,59000.0|60000.0|64500.0,2026-05-13,41900.0,29,-11.85,supertrend_bearish_flip
2026-04-06,24050.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: ewha 2026-04-04, yig 2025-10-14, star 2022-08-16)",제이브이엠,054950,KR,5.0,3,ewha|star|yig,2022-08-16|2026-04-04|2025-10-14,26320.0|36900.0|41350.0,2026-05-12,23950.0,36,-1.01,supertrend_bearish_flip
2026-04-01,73300.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-03-31)",포스코인터내셔널,047050,KR,5.0,1,yig,2026-03-31,99800.0,2026-05-12,76100.0,41,3.2,supertrend_bearish_flip
2026-04-17,23750.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: smic 2026-04-16, star 2025-08-31, ewha 2024-10-05)",SK오션플랜트,100090,KR,5.0,3,ewha|smic|star,2024-10-05|2025-08-31|2026-04-16,20090.0|32100.0|41600.0,2026-05-08,22000.0,21,-7.92,supertrend_bearish_flip
2026-03-26,7090.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2026-03-14, yig 2025-02-07)",오스테오닉,226400,KR,5.0,2,star|yig,2025-02-07|2026-03-14,12560.0|9250.0,2026-05-08,6270.0,43,-12.1,supertrend_bearish_flip
2026-04-01,61000.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-03-31, star 2025-08-31, smic 2024-10-17, kuvic 2024-10-08, ewha 2023-05-27, voera 2021-05-14)",씨에스윈드,112610,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2023-05-27|2021-05-14|2026-03-31|2025-08-31|2024-10-08|2024-10-17,103200.0|90900.0|88500.0|51700.0|96684.0|134400.0,2026-05-08,62700.0,37,2.17,supertrend_bearish_flip
2026-02-10,118900.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: kuvic 2026-02-09, ewha 2024-06-01, star 2022-10-31)",비나텍,126340,KR,5.0,3,ewha|kuvic|star,2024-06-01|2022-10-31|2026-02-09,80200.0|65400.0|165100.0,2026-04-08,108800.0,57,-9.04,supertrend_bearish_flip
2026-03-16,43600.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2026-03-14)",그래피,318060,KR,5.0,1,star,2026-03-14,87400.0,2026-04-07,37850.0,22,-13.71,supertrend_bearish_flip
2026-03-16,54200.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2026-03-14, smic 2025-05-11)",토모큐브,475960,KR,5.0,2,smic|star,2025-05-11|2026-03-14,64550.0|78200.0,2026-04-07,51300.0,22,-5.92,supertrend_bearish_flip
2025-12-02,62500.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: kuvic 2025-11-25)",한국피아이엠,448900,KR,5.0,1,kuvic,2025-11-25,65000.0,2026-04-07,88800.0,126,41.23,supertrend_bearish_flip
2026-03-16,49300.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2026-03-14, ewha 2024-08-23)",슈프리마,236200,KR,5.0,2,ewha|star,2024-08-23|2026-03-14,38810.0|89600.0,2026-04-07,43850.0,22,-11.59,supertrend_bearish_flip
2026-03-19,135900.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2026-03-14)",큐리옥스바이오시스템즈,445680,KR,5.0,1,star,2026-03-14,260500.0,2026-04-02,87600.0,14,-35.93,supertrend_bearish_flip
2026-02-10,49100.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: kuvic 2026-02-09)",파두,440110,KR,5.0,1,kuvic,2026-02-09,56400.0,2026-04-01,48550.0,50,-1.71,supertrend_bearish_flip
2026-01-26,55200.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: ewha 2026-01-24, star 2023-04-22, smic 2021-06-06)",에스엘,005850,KR,5.0,3,ewha|smic|star,2026-01-24|2021-06-06|2023-04-22,82300.0|50000.0|39000.0,2026-03-31,56000.0,64,0.84,supertrend_bearish_flip
2026-03-16,24000.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2026-03-14)",엔알비,475230,KR,5.0,1,star,2026-03-14,38600.0,2026-03-31,20850.0,15,-13.65,supertrend_bearish_flip
2026-03-16,328500.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2026-03-14, voera 2020-05-14)",신세계,004170,KR,5.0,2,star|voera,2020-05-14|2026-03-14,278000.0|424500.0,2026-03-31,300000.0,15,-9.22,supertrend_bearish_flip
2026-02-09,98000.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2026-02-06, star 2024-01-06)",선익시스템,171090,KR,5.0,2,star|yig,2024-01-06|2026-02-06,54700.0|131400.0,2026-03-25,94600.0,44,-4.05,supertrend_bearish_flip
2026-03-16,65300.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2026-03-14)",링크솔루션,474650,KR,5.0,1,star,2026-03-14,100400.0,2026-03-24,58800.0,8,-10.49,supertrend_bearish_flip
2025-12-15,261000.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2025-12-12, yig 2025-10-14, ewha 2025-04-04)",삼성전기,009150,KR,5.0,3,ewha|star|yig,2025-12-12|2025-04-04|2025-10-14,309000.0|187900.0|297800.0,2026-03-05,430000.0,80,63.76,supertrend_bearish_flip
2025-12-24,130800.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: ewha 2025-11-29, smic 2024-04-17)",한화오션,042660,KR,5.0,2,ewha|smic,2024-04-17|2025-11-29,54500.0|167100.0,2026-03-05,121200.0,71,-7.89,supertrend_bearish_flip
2026-01-14,25500.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-12-12, smic 2022-12-08)",삼성E&A,028050,KR,5.0,2,smic|star,2022-12-08|2025-12-12,33800.0|42700.0,2026-03-05,33450.0,50,30.39,supertrend_bearish_flip
2025-12-24,301500.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: yig 2025-11-27)",키움증권,039490,KR,5.0,1,yig,2025-11-27,432300.0,2026-03-05,411000.0,71,35.5,supertrend_bearish_flip
2026-01-14,298500.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-12-12)",삼성SDI,006400,KR,5.0,1,star,2025-12-12,479000.0,2026-03-05,391000.0,50,30.2,supertrend_bearish_flip
2026-01-29,149800.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-12-12, ewha 2025-10-03, kuvic 2025-08-19)",산일전기,062040,KR,5.0,3,ewha|kuvic|star,2025-08-19|2025-10-03|2025-12-12,156800.0|220100.0,2026-03-05,142400.0,35,-5.51,supertrend_bearish_flip
2026-01-26,30900.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: ewha 2026-01-24, kuvic 2025-06-26, smic 2023-05-11)",태웅,044490,KR,5.0,3,ewha|kuvic|smic,2023-05-11|2025-06-26|2026-01-24,28600.0|48000.0|45800.0,2026-03-05,29450.0,38,-5.26,supertrend_bearish_flip
2025-09-01,16342.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2025-08-31)",씨어스,458870,KR,5.0,2,star,2025-08-31,54600.0,2026-03-04,39988.0,184,143.23,supertrend_bearish_flip
2026-01-13,97.6949,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: smic 2025-12-01)",SXT,SXT,US,5.0,1,smic,2025-12-01,238.0,2026-02-17,90.1961,35,-8.23,supertrend_bearish_flip
2026-01-13,89.05,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: smic 2025-10-23)",CRWV,CRWV,US,5.0,1,smic,2025-10-23,,2026-02-06,77.9,24,-13.05,supertrend_bearish_flip
2025-12-02,92.0891,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: smic 2025-12-01)",IRMD,IRMD,US,5.0,1,smic,2025-12-01,146.0,2026-02-05,93.4432,65,0.86,supertrend_bearish_flip
2026-01-09,583000.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: yig 2025-11-20, star 2024-06-30)",HD현대중공업,329180,KR,5.0,2,star|yig,2024-06-30|2025-11-20,173400.0|780000.0,2026-02-03,569000.0,25,-2.99,supertrend_bearish_flip
2025-12-17,1790000.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-12-12, voera 2021-08-17)",삼성바이오로직스,207940,KR,5.0,2,star|voera,2021-08-17|2025-12-12,2142000.0,2026-02-02,1745000.0,47,-3.1,supertrend_bearish_flip
2026-01-05,90100.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-12-12, kuvic 2024-11-11)",유진테크,084370,KR,5.0,2,kuvic|star,2024-11-11|2025-12-12,119500.0,2026-01-23,76500.0,18,-15.6,supertrend_bearish_flip
2025-12-23,29900.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-12-12)",브이엠,089970,KR,5.0,2,star,2025-12-12,59300.0,2026-01-22,27000.0,30,-10.24,supertrend_bearish_flip
2025-11-27,80200.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: kuvic 2025-11-17)",프로티나,468530,KR,5.0,1,kuvic,2025-11-17,90700.0,2026-01-21,80600.0,55,-0.1,supertrend_bearish_flip
2025-08-27,298000.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: yig 2025-08-01, ewha 2025-01-24)",한미약품,128940,KR,5.0,3,ewha|yig,2025-01-24|2025-08-01,360500.0|516900.0,2026-01-15,429500.0,141,43.26,supertrend_bearish_flip
2025-11-26,54700.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: ewha 2025-11-25)",엘앤씨바이오,290650,KR,5.0,1,ewha,2025-11-25,82900.0,2026-01-14,56600.0,49,2.85,supertrend_bearish_flip
2025-07-28,25173.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: ewha 2025-07-25, smic 2024-11-07)",티엘비,356860,KR,5.0,2,ewha|smic,2024-11-07|2025-07-25,,2026-01-09,52338.0,165,106.67,supertrend_bearish_flip
2025-12-09,38.49,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: smic 2025-12-01)",IMAX,IMAX,US,5.0,1,smic,2025-12-01,54.6,2026-01-09,33.84,31,-12.61,supertrend_bearish_flip
2025-12-22,9100.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: yig 2025-10-14)",동방메디컬,240550,KR,5.0,1,yig,2025-10-14,14520.0,2026-01-09,7480.0,18,-18.29,supertrend_bearish_flip
2025-11-14,50900.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2025-11-13, ewha 2022-03-12)",심텍,222800,KR,5.0,2,ewha|yig,2022-03-12|2025-11-13,66900.0|84100.0,2026-01-08,43000.0,55,-16.03,supertrend_bearish_flip
2025-11-28,264000.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: voera 2025-11-25, kuvic 2025-05-15, ewha 2025-04-05, yig 2025-02-07, star 2024-06-30, smic 2024-05-09)",에이피알,278470,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2024-05-09|2024-06-30|2025-02-07|2025-04-05|2025-05-15|2025-11-25,89212.12|134574.51|68800.0|100500.0|362500.0,2026-01-07,217500.0,40,-18.11,supertrend_bearish_flip
2025-11-12,88700.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: smic 2025-11-11)",지투지바이오,456160,KR,5.0,1,smic,2025-11-11,319800.0,2026-01-05,63000.0,54,-29.4,supertrend_bearish_flip
2025-11-27,15080.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: kuvic 2025-11-26, smic 2024-10-17, star 2023-11-29)",인카금융서비스,211050,KR,5.0,3,kuvic|smic|star,2023-11-29|2024-10-17|2025-11-26,4101.93|8100.0|36700.0,2025-12-23,13200.0,26,-12.99,supertrend_bearish_flip
2025-12-11,100300.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: yig 2025-11-25, kuvic 2024-02-28)",HD건설기계,267270,KR,5.0,2,kuvic|yig,2024-02-28|2025-11-25,81000.0|128300.0,2025-12-23,95500.0,12,-5.36,supertrend_bearish_flip
2025-12-19,117000.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: smic 2025-12-15)",알지노믹스,476830,KR,5.0,1,smic,2025-12-15,105000.0,2025-12-22,152100.0,3,29.22,supertrend_bearish_flip
2025-11-12,1018000.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: smic 2025-11-11, kuvic 2025-08-19)",두산,000150,KR,5.0,2,kuvic|smic,2025-08-19|2025-11-11,1874000.0,2025-12-19,785000.0,37,-23.35,supertrend_bearish_flip
2025-11-07,123200.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2025-11-06, star 2023-03-01, ewha 2022-11-25)",엘앤에프,066970,KR,5.0,3,ewha|star|yig,2022-11-25|2023-03-01|2025-11-06,261600.0|457300.0|184000.0,2025-12-19,109600.0,42,-11.57,supertrend_bearish_flip
2025-11-21,250000.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: kuvic 2025-11-20, smic 2020-05-31)",이오테크닉스,039030,KR,5.0,2,kuvic|smic,2020-05-31|2025-11-20,107593.0|416000.0,2025-12-17,238500.0,26,-5.17,supertrend_bearish_flip
2025-11-13,19240.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-08-31)",하이트진로,000080,KR,5.0,1,star,2025-08-31,33500.0,2025-11-26,18690.0,13,-3.44,supertrend_bearish_flip
2025-10-17,73200.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-08-31, ewha 2021-11-27)",대주전자재료,078600,KR,5.0,2,ewha|star,2021-11-27|2025-08-31,142000.0|116900.0,2025-11-24,70000.0,38,-4.94,supertrend_bearish_flip
2025-10-15,198900.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2025-10-14, ewha 2025-04-04, star 2024-09-11)",삼성전기,009150,KR,5.0,3,ewha|star|yig,2024-09-11|2025-04-04|2025-10-14,207500.0|187900.0|297800.0,2025-11-19,208000.0,35,3.95,supertrend_bearish_flip
2025-09-01,4820.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2025-08-31)",현대무벡스,319400,KR,5.0,1,star,2025-08-31,6400.0,2025-11-19,8700.0,79,79.42,supertrend_bearish_flip
2025-10-27,45250.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-08-31, yig 2024-11-05, smic 2024-10-17, kuvic 2024-10-08, ewha 2023-05-27, voera 2021-05-14)",씨에스윈드,112610,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2023-05-27|2021-05-14|2024-11-05|2025-08-31|2024-10-08|2024-10-17,103200.0|90900.0|73853.78|51700.0|96684.0|134400.0,2025-11-19,41450.0,23,-8.95,supertrend_bearish_flip
2025-10-24,86.4103,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: smic 2025-10-23)",GLW,GLW,US,5.0,1,smic,2025-10-23,144.0,2025-11-18,80.1872,25,-7.76,supertrend_bearish_flip
2025-10-13,185400.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2025-10-10, voera 2025-03-01)",로보티즈,108490,KR,5.0,3,voera|yig,2025-03-01|2025-10-10,45700.0|254100.0,2025-11-18,203500.0,36,9.11,supertrend_bearish_flip
2025-09-01,40439.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2025-08-31)",코미코,183300,KR,5.0,2,star,2025-08-31,87900.0,2025-11-17,49963.0,77,22.81,supertrend_bearish_flip
2025-10-17,4980.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: yig 2025-08-02)",슈어소프트테크,298830,KR,5.0,1,yig,2025-08-02,6420.0,2025-11-12,4765.0,26,-4.89,supertrend_bearish_flip
2025-10-28,306000.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: smic 2025-10-23, kuvic 2025-02-24, star 2025-01-09, yig 2024-06-28, ewha 2023-02-08, voera 2022-05-28)",하이브,352820,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2025-10-23|2022-05-28|2023-02-08|2025-01-09|2024-06-28|2025-02-24,393000.0|381500.0|229500.0|310300.0|400500.0|369600.0,2025-11-12,289000.0,15,-6.12,supertrend_bearish_flip
2025-09-01,20800.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2025-08-31, ewha 2024-10-05)",SK오션플랜트,100090,KR,5.0,3,ewha|star,2024-10-05|2025-08-31,20090.0|32100.0,2025-11-07,19500.0,67,-6.81,supertrend_bearish_flip
2025-11-04,160200.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-08-31)",달바글로벌,483650,KR,5.0,1,star,2025-08-31,292500.0,2025-11-07,124700.0,3,-22.63,supertrend_bearish_flip
2025-07-28,19300.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: ewha 2025-07-26, star 2025-03-10)",삼성중공업,010140,KR,5.0,2,ewha|star,2025-03-10|2025-07-26,19330.0|27100.0,2025-11-07,25500.0,102,31.33,supertrend_bearish_flip
2025-10-21,50000.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: yig 2025-09-24)",테스,095610,KR,5.0,1,yig,2025-09-24,55200.0,2025-11-06,42600.0,16,-15.31,supertrend_bearish_flip
2025-09-25,160800.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: yig 2025-09-24, kuvic 2025-06-27, star 2024-09-11, ewha 2024-07-26)",티씨케이,064760,KR,5.0,4,ewha|kuvic|star|yig,2024-07-26|2024-09-11|2025-06-27|2025-09-24,166600.0|168100.0|146700.0|206400.0,2025-11-06,162000.0,42,0.14,supertrend_bearish_flip
2025-09-18,50900.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2025-08-31, voera 2023-11-17, ewha 2023-10-07, kuvic 2023-09-20, smic 2021-12-13)",인텔리안테크,189300,KR,5.0,5,ewha|kuvic|smic|star|voera,2023-10-07|2021-12-13|2023-09-20|2023-11-17|2025-08-31,113710.0|122000.0|293000.0|96600.0|71700.0,2025-11-03,45850.0,46,-10.46,supertrend_bearish_flip
2025-08-15,15.31,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: smic 2025-05-25)",CLBT,CLBT,US,5.0,1,smic,2025-05-25,29.7,2025-10-30,17.29,76,12.26,supertrend_bearish_flip
2025-08-13,67.08,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: smic 2025-05-25)",TEM,TEM,US,5.0,1,smic,2025-05-25,228.5,2025-10-23,86.61,71,28.34,supertrend_bearish_flip
2025-09-01,39164.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: kuvic 2025-08-19)",디앤디파마텍,347850,KR,5.0,1,kuvic,2025-08-19,,2025-10-20,40790.0,49,3.53,supertrend_bearish_flip
2025-09-12,21150.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: yig 2025-07-18)",지니언스,263860,KR,5.0,1,yig,2025-07-18,32500.0,2025-10-17,22000.0,35,3.4,supertrend_bearish_flip
2025-09-01,18320.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2025-08-31, smic 2023-12-06, ewha 2023-07-22)",비에이치,090460,KR,5.0,3,ewha|smic|star,2023-12-06|2025-08-31|2023-07-22,31000.0|21500.0|38900.0,2025-10-14,16980.0,43,-7.87,supertrend_bearish_flip
